j,j
jab,ジャブ
jabber,ジャバー
Jack,ジャック
jackal,ジャッカル
jackass,ジャッカス
jacket,ジャケット
Jackie,ジャッキー
jackpot,ジャックポット
Jackson,ジャクソン
Jacksonville,ジャクソンビル
Jacob,ジェイコブ
Jacque,ジャック
jacuzzi,ジャグジー
jade,ヒスイ
jaded,疲れ切った
jag,ギザギザ
jagged,ギザギザの
Jagger,ジャガー
jaguar,ジャガー
jail,刑務所
jailbird,常習犯
jailer,看守
jailhouse,刑務所
Jakarta,ジャカルタ
Jakob,ジェイコブ
Jalalabad,ジャラーラーバード
jalopy,おんぼろ自動車
jam,ジャム
Jamaica,ジャマイカ
Jamaican,ジャマイカ
jamboree,ジャンボリー
James,ジェームズ
Jamie,ジェイミー
jamming,ジャミング
jammy,易しい
Jan,1月
Jane,ジェーン
Janeiro,ジャネーロ
Janet,ジャネット
jangle,さわる
janitor,管理人
January,1月
Janus,ヤヌス
Japan,日本
Japanese,日本人
Japonica,ジャポニカ
jar,ジャー
jargon,専門用語
jarrah,マルバユーカリノキ
jarring,耳障りな
jasmine,ジャスミン
Jason,ジェイソン
jasper,ジャスパー
jaundice,黄疸
jaundiced,偏見を持った
jaunt,遠足
jaunty,粋な
Java,ジャワ
Javanica,ジャワ米
javelin,ジャベリン
jaw,顎
jawbone,顎骨
jawbreaker,早口言葉
jay,ジェイ
jaywalk,Jaywalk
jazz,ジャズ
jazzercise,jazzercise
jazzy,ジャズ風の
jealous,嫉妬深い　
jealously,用心深く
jealousy,嫉妬
jean,ジーンズ
jeans,ジーンズ
jeep,ジープ
jeer,冷やかす
jeez,まあ
Jeff,ジェフ
Jefferson,ジェファーソン
Jeffrey,ジェフリー
Jehovah,エホバ
jejunum,空腸
jell,ジェル
jello,ゼリー
jelly,ゼリー
jellyfish,クラゲ
jemmy,短いかなてこ
Jen,ジェン
Jennifer,ジェニファー
jenny,ジェニー
jeopardize,危険にさらす
jeopardy,危険
jeremiad,jeremiad
Jeremy,ジェレミー
jerk,ジャーク
jerky,ジャーキー
jerry,ジェリー
Jersey,ジャージー
Jerusalem,エルサレム
Jess,ジェス
Jesse,ジェシー
Jessica,ジェシカ
jest,冗談
jester,道化師
Jesus,イエス
JET,JET
jetliner,ジェット旅客機
jetsam,がらくた
jettison,捨てる
jetty,桟橋
Jew,ユダヤ人
jewel,宝石
jeweler,宝石商
jewellery,ジュエリー
jewelry,ジュエリー
Jewish,ユダヤ人の
Jewishness,ユダヤ人であること
JFK,JFK
Jiang,揚子江
jibe,ジャイブ
jiffy,ちょっとの間
jig,ジグ
jiggle,軽い揺れ
jigsaw,ジグソーパズル
jihad,ジハード
jihadist,ジハード主義
Jill,ジル
Jilli,ジリー
Jim,ジム
Jiminy,ジミニー
jimmy,ジミー
jingle,ジングル
jingo,愛国主義者
jingoism,愛国主義
jingoist,jingoist
jingoistic,対外強硬主義
jinn,精霊
jinx,ジンクス
jittery,神経質な
jive,ジャイブ
JNK,JNK酵素
Jo,ジョー
Joan,ジョアン
job,仕事
jobber,仲買人
jobless,失業者
jobseeker,求職者
jock,運動選手
jockey,ジョッキー
jockeying,jockeying
jockstrap,気を付けろ
jocular,ひょうきんな
Joe,ジョー
Joel,ジョエル
joey,ジョーイ
jog,ジョグ
jogger,ジョガー
jogging,ジョギング
Johannesburg,ヨハネスブルク
John,ジョン
Johnny,ジョニー
Johnson,ジョンソン
Johor,ジョホール州
join,参加する
joiner,社交家
joint,ジョイント
jointly,一緒に
joist,根太
joke,冗談で
joker,ジョーカー
jokey,冗談好きな
jokingly,冗談めかして
jolly,ジョリー
jolt,ジョルト
Jon,ジョン
